pizza_category,pizza_name
Chicken,"The Barbecue Chicken Pizza"
Classic,"The Big Meat Pizza"
Supreme,"The Brie Carre Pizza"
Supreme,"The Calabrese Pizza"
Chicken,"The California Chicken Pizza"
Chicken,"The Chicken Alfredo Pizza"
Chicken,"The Chicken Pesto Pizza"
Classic,"The Classic Deluxe Pizza"
Veggie,"The Five Cheese Pizza"
Veggie,"The Four Cheese Pizza"
Veggie,"The Green Garden Pizza"
Classic,"The Hawaiian Pizza"
Classic,"The Italian Capocollo Pizza"
Supreme,"The Italian Supreme Pizza"
Veggie,"The Italian Vegetables Pizza"
Veggie,"The Mediterranean Pizza"
Veggie,"The Mexicana Pizza"
Classic,"The Napolitana Pizza"
Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
Classic,"The Pepperoni Pizza"
Supreme,"The Pepper Salami Pizza"
Supreme,"The Prosciutto and Arugula Pizza"
Supreme,"The Sicilian Pizza"
Supreme,"The Soppressata Pizza"
Chicken,"The Southwest Chicken Pizza"
Supreme,"The Spicy Italian Pizza"
Veggie,"The Spinach Pesto Pizza"
Veggie,"The Spinach and Feta Pizza"
Supreme,"The Spinach Supreme Pizza"
Chicken,"The Thai Chicken Pizza"
Classic,"The Greek Pizza"
Veggie,"The Vegetables + Vegetables Pizza"
